"Date(UTC)","Unique Address Total Count","Unique Address Receive Count","Unique Address Sent Count"
"01/01/2024","483842","413772","198165"
"01/02/2024","459434","381274","229114"
"01/03/2024","421905","340732","227702"
"01/04/2024","427264","347124","228527"
"01/05/2024","423170","341397","226473"
"01/06/2024","408744","324336","217033"
"01/07/2024","468272","397726","243512"
"01/08/2024","437976","362225","226791"
"01/09/2024","439212","364028","222722"
"01/10/2024","580930","502352","247834"
"01/11/2024","537923","453611","249644"
"01/12/2024","519137","439203","236824"
"01/13/2024","418547","345338","214062"
"01/14/2024","334692","266853","189648"
"01/15/2024","428885","344717","226835"
"01/16/2024","411397","328434","232619"
"01/17/2024","409589","332522","223838"
"01/18/2024","442112","361659","235184"
"01/19/2024","462208","382808","241734"
"01/20/2024","433514","354356","222029"
"01/21/2024","450369","376096","214426"
"01/22/2024","427980","342453","220022"
"01/23/2024","439764","360995","219967"
"01/24/2024","436594","357039","222459"
"01/25/2024","486461","404111","259265"
"01/26/2024","494951","414723","260829"
"01/27/2024","523138","443566","256035"
"01/28/2024","482822","411063","246507"
"01/29/2024","475796","394641","241902"
"01/30/2024","489946","411591","241359"
"01/31/2024","456146","378907","238689"
"02/01/2024","450784","374371","239959"
"02/02/2024","452748","378685","234366"
"02/03/2024","426362","360079","215528"
"02/04/2024","448165","379578","218138"
"02/05/2024","485042","407356","234125"
"02/06/2024","445954","369497","231211"
"02/07/2024","446937","371423","250974"
"02/08/2024","401660","327052","226369"
"02/09/2024","436327","366572","229602"
"02/10/2024","413239","345349","221584"
"02/11/2024","421234","350765","219816"
"02/12/2024","395252","322041","209333"
"02/13/2024","471067","396612","227029"
"02/14/2024","489432","411464","233490"
"02/15/2024","481120","398362","239788"
"02/16/2024","481144","400848","241342"
"02/17/2024","437797","363935","222708"
"02/18/2024","440704","364662","223860"
"02/19/2024","473341","390905","235644"
"02/20/2024","476160","392159","238945"
"02/21/2024","445214","358680","237021"
"02/22/2024","432647","347412","245432"
"02/23/2024","473641","391279","262216"
"02/24/2024","465030","386116","242026"
"02/25/2024","479446","399463","237742"
"02/26/2024","506630","417035","263114"
"02/27/2024","518678","424250","274829"
"02/28/2024","528957","427439","288637"
"02/29/2024","514227","413183","297103"
"03/01/2024","511414","419530","273511"
"03/02/2024","507611","418072","272524"
"03/03/2024","506129","416706","260166"
"03/04/2024","517461","413049","292798"
"03/05/2024","538569","425959","309648"
"03/06/2024","503045","399979","281317"
"03/07/2024","515934","419406","283003"
"03/08/2024","510568","413311","275340"
"03/09/2024","488950","398541","256459"
"03/10/2024","465076","376743","253742"
"03/11/2024","533398","430112","282265"
"03/12/2024","515145","419477","279993"
"03/13/2024","542303","444487","299077"
"03/14/2024","555484","457968","302913"
"03/15/2024","591376","492637","301857"
"03/16/2024","591224","497222","287630"
"03/17/2024","545920","455675","265520"
"03/18/2024","567548","473622","282074"
"03/19/2024","594482","503664","305914"
"03/20/2024","623993","534071","289939"
"03/21/2024","600266","507835","278910"
"03/22/2024","618407","531830","270160"
"03/23/2024","620973","532881","280683"
"03/24/2024","573879","489101","256180"
"03/25/2024","576414","485568","272822"
"03/26/2024","547312","448577","292563"
"03/27/2024","519211","427320","282128"
"03/28/2024","537315","445358","282504"
"03/29/2024","572004","481693","277394"
"03/30/2024","555827","467712","271015"
"03/31/2024","550693","465551","265922"
"04/01/2024","540780","452433","257451"
"04/02/2024","500605","412888","252919"
"04/03/2024","485967","393738","251789"
