"Date(UTC)","Unique Address Total Count","Unique Address Receive Count","Unique Address Sent Count"
"01/01/2024","291605","236410","147739"
"01/02/2024","346865","283992","178731"
"01/03/2024","355869","299844","168823"
"01/04/2024","345264","285078","175090"
"01/05/2024","339497","283286","165628"
"01/06/2024","382154","327065","147715"
"01/07/2024","272973","230996","122286"
"01/08/2024","390354","328476","184085"
"01/09/2024","432370","373670","175797"
"01/10/2024","278526","225096","154421"
"01/11/2024","349648","285356","182130"
"01/12/2024","442241","384947","172279"
"01/13/2024","491198","443568","146451"
"01/14/2024","354848","313700","126441"
"01/15/2024","535011","483715","162730"
"01/16/2024","418908","369382","155197"
"01/17/2024","476187","424697","156799"
"01/18/2024","467976","405096","190861"
"01/19/2024","334371","262486","195112"
"01/20/2024","574305","513627","160476"
"01/21/2024","329010","278460","149793"
"01/22/2024","423841","363356","175628"
"01/23/2024","351340","293402","175719"
"01/24/2024","423763","360736","170336"
"01/25/2024","431235","384341","192253"
"01/26/2024","353896","302670","188743"
"01/27/2024","360769","310936","174131"
"01/28/2024","448068","398146","160786"
"01/29/2024","357941","291218","181184"
"01/30/2024","299792","240930","172728"
"01/31/2024","309631","254224","175711"
"02/01/2024","311588","256763","174137"
"02/02/2024","416932","351247","185398"
"02/03/2024","310831","257568","159636"
"02/04/2024","377522","331432","148171"
"02/05/2024","424192","366150","175739"
"02/06/2024","298490","239627","173867"
"02/07/2024","303450","250506","184302"
"02/08/2024","261841","203616","159306"
"02/09/2024","269411","204429","163237"
"02/10/2024","312711","260813","157369"
"02/11/2024","362865","314664","153377"
"02/12/2024","452435","403874","145662"
"02/13/2024","289402","237646","160053"
"02/14/2024","327481","270759","169379"
"02/15/2024","291339","238130","164314"
"02/16/2024","321194","267217","167232"
"02/17/2024","314130","261452","152435"
"02/18/2024","270898","221912","149159"
"02/19/2024","316545","263165","167983"
"02/20/2024","317882","263511","170525"
"02/21/2024","290150","239625","161803"
"02/22/2024","297752","245174","157268"
