"Date(UTC)","UnixTimeStamp","No. of Deployed Contracts"
"2024-01-01","1704067200","13132"
"2024-01-02","1704153600","8623"
"2024-01-03","1704240000","7175"
"2024-01-04","1704326400","9814"
"2024-01-05","1704412800","8350"
"2024-01-06","1704499200","7362"
"2024-01-07","1704585600","5161"
"2024-01-08","1704672000","9019"
"2024-01-09","1704758400","7191"
"2024-01-10","1704844800","6373"
"2024-01-11","1704931200","10513"
"2024-01-12","1705017600","8444"
"2024-01-13","1705104000","8166"
"2024-01-14","1705190400","7379"
"2024-01-15","1705276800","9569"
"2024-01-16","1705363200","8049"
"2024-01-17","1705449600","8795"
"2024-01-18","1705536000","8925"
"2024-01-19","1705622400","10148"
"2024-01-20","1705708800","8525"
"2024-01-21","1705795200","16437"
"2024-01-22","1705881600","13564"
"2024-01-23","1705968000","14593"
"2024-01-24","1706054400","12009"
"2024-01-25","1706140800","10012"
"2024-01-26","1706227200","8630"
"2024-01-27","1706313600","8399"
"2024-01-28","1706400000","11274"
"2024-01-29","1706486400","11904"
"2024-01-30","1706572800","8074"
"2024-01-31","1706659200","8223"
"2024-02-01","1706745600","8397"
"2024-02-02","1706832000","9329"
"2024-02-03","1706918400","6766"
"2024-02-04","1707004800","10851"
"2024-02-05","1707091200","9517"
"2024-02-06","1707177600","7128"
"2024-02-07","1707264000","6674"
"2024-02-08","1707350400","7653"
"2024-02-09","1707436800","6406"
"2024-02-10","1707523200","10623"
"2024-02-11","1707609600","11034"
"2024-02-12","1707696000","8667"
"2024-02-13","1707782400","8776"
"2024-02-14","1707868800","7121"
"2024-02-15","1707955200","6651"
"2024-02-16","1708041600","8466"
"2024-02-17","1708128000","6285"
"2024-02-18","1708214400","6131"
"2024-02-19","1708300800","6690"
"2024-02-20","1708387200","7046"
"2024-02-21","1708473600","6931"
"2024-02-22","1708560000","5792"
"2024-02-23","1708646400","7601"
"2024-02-24","1708732800","6280"
"2024-02-25","1708819200","7038"
"2024-02-26","1708905600","6271"
"2024-02-27","1708992000","7848"
"2024-02-28","1709078400","5425"
"2024-02-29","1709164800","7327"
"2024-03-01","1709251200","7382"
"2024-03-02","1709337600","6043"
"2024-03-03","1709424000","6695"
"2024-03-04","1709510400","7981"
"2024-03-05","1709596800","7276"
"2024-03-06","1709683200","6664"
"2024-03-07","1709769600","7966"
"2024-03-08","1709856000","6369"
"2024-03-09","1709942400","5481"
"2024-03-10","1710028800","6178"
"2024-03-11","1710115200","7337"
"2024-03-12","1710201600","7431"
"2024-03-13","1710288000","5611"
"2024-03-14","1710374400","9352"
"2024-03-15","1710460800","9890"
"2024-03-16","1710547200","6558"
"2024-03-17","1710633600","4929"
"2024-03-18","1710720000","4551"
"2024-03-19","1710806400","6931"
"2024-03-20","1710892800","7288"
"2024-03-21","1710979200","9442"
"2024-03-22","1711065600","8920"
"2024-03-23","1711152000","4757"
"2024-03-24","1711238400","5437"
"2024-03-25","1711324800","5119"
"2024-03-26","1711411200","7212"
"2024-03-27","1711497600","5492"
"2024-03-28","1711584000","5368"
"2024-03-29","1711670400","5703"
"2024-03-30","1711756800","3976"
"2024-03-31","1711843200","6420"
"2024-04-01","1711929600","4513"
"2024-04-02","1712016000","5186"
"2024-04-03","1712102400","5527"
"2024-04-04","1712188800","4555"
"2024-04-05","1712275200","10637"
"2024-04-06","1712361600","6115"
"2024-04-07","1712448000","5052"
"2024-04-08","1712534400","6407"
"2024-04-09","1712620800","4742"
"2024-04-10","1712707200","4998"
"2024-04-11","1712793600","4782"
"2024-04-12","1712880000","5257"
"2024-04-13","1712966400","8675"
"2024-04-14","1713052800","5695"
"2024-04-15","1713139200","9937"
"2024-04-16","1713225600","9371"
"2024-04-17","1713312000","5097"
"2024-04-18","1713398400","5997"
"2024-04-19","1713484800","5390"
"2024-04-20","1713571200","17655"
"2024-04-21","1713657600","17167"
"2024-04-22","1713744000","13348"
"2024-04-23","1713830400","7931"
"2024-04-24","1713916800","5983"
"2024-04-25","1714003200","10418"
"2024-04-26","1714089600","23822"
"2024-04-27","1714176000","34250"
"2024-04-28","1714262400","23164"
"2024-04-29","1714348800","16481"
"2024-04-30","1714435200","5111"
"2024-05-01","1714521600","7961"
"2024-05-02","1714608000","7798"
"2024-05-03","1714694400","9362"
"2024-05-04","1714780800","12711"
"2024-05-05","1714867200","16428"
"2024-05-06","1714953600","26485"
"2024-05-07","1715040000","28947"
"2024-05-08","1715126400","35420"
"2024-05-09","1715212800","36033"
"2024-05-10","1715299200","22454"
"2024-05-11","1715385600","23210"
"2024-05-12","1715472000","65671"
"2024-05-13","1715558400","22187"
"2024-05-14","1715644800","13203"
"2024-05-15","1715731200","15272"
"2024-05-16","1715817600","13537"
"2024-05-17","1715904000","29664"
"2024-05-18","1715990400","49624"
"2024-05-19","1716076800","50268"
"2024-05-20","1716163200","35786"
"2024-05-21","1716249600","4334"
"2024-05-22","1716336000","4590"
"2024-05-23","1716422400","5019"
"2024-05-24","1716508800","4741"
"2024-05-25","1716595200","10992"
"2024-05-26","1716681600","11504"
"2024-05-27","1716768000","4321"
"2024-05-28","1716854400","4371"
"2024-05-29","1716940800","4398"
"2024-05-30","1717027200","5130"
"2024-05-31","1717113600","4393"
"2024-06-01","1717200000","2414"
"2024-06-02","1717286400","3845"
"2024-06-03","1717372800","4819"
"2024-06-04","1717459200","4641"
"2024-06-05","1717545600","5130"
"2024-06-06","1717632000","4508"
"2024-06-07","1717718400","4467"
"2024-06-08","1717804800","4934"
"2024-06-09","1717891200","7437"
"2024-06-10","1717977600","5904"
"2024-06-11","1718064000","4298"
"2024-06-12","1718150400","3849"
"2024-06-13","1718236800","4327"
"2024-06-14","1718323200","4080"
"2024-06-15","1718409600","13093"
"2024-06-16","1718496000","18400"
"2024-06-17","1718582400","10023"
"2024-06-18","1718668800","3797"
"2024-06-19","1718755200","5722"
"2024-06-20","1718841600","3957"
"2024-06-21","1718928000","7753"
"2024-06-22","1719014400","17561"
"2024-06-23","1719100800","29511"
"2024-06-24","1719187200","8389"
"2024-06-25","1719273600","4723"
"2024-06-26","1719360000","8027"
"2024-06-27","1719446400","4392"
"2024-06-28","1719532800","6360"
"2024-06-29","1719619200","27727"
"2024-06-30","1719705600","24116"
"2024-07-01","1719792000","6935"
"2024-07-02","1719878400","9604"
"2024-07-03","1719964800","4769"
"2024-07-04","1720051200","4114"
"2024-07-05","1720137600","4642"
"2024-07-06","1720224000","19578"
"2024-07-07","1720310400","48169"
"2024-07-08","1720396800","12858"
"2024-07-09","1720483200","11226"
"2024-07-10","1720569600","7030"
"2024-07-11","1720656000","4986"
"2024-07-12","1720742400","10347"
"2024-07-13","1720828800","25053"
"2024-07-14","1720915200","5512"
"2024-07-15","1721001600","5696"
"2024-07-16","1721088000","7283"
"2024-07-17","1721174400","4724"
"2024-07-18","1721260800","5389"
"2024-07-19","1721347200","5148"
"2024-07-20","1721433600","5910"
"2024-07-21","1721520000","8209"
"2024-07-22","1721606400","6496"
"2024-07-23","1721692800","6559"
"2024-07-24","1721779200","18540"
"2024-07-25","1721865600","8074"
"2024-07-26","1721952000","16166"
"2024-07-27","1722038400","29440"
"2024-07-28","1722124800","47588"
"2024-07-29","1722211200","32261"
